gender,job_title,job_industry_category,wealth_segment,tenure,postcode,state,property_valuation,Age_category,past_3_years_bike_related_purchases_categories,cluster,customer_id
Male,Statistician III,Health,Mass Customer,11,2147,NSW,8,45-54,41-50,Cat_3,2184
Female,Social Worker,Health,Affluent Customer,11,3175,VIC,8,Above 64,41-50,Cat_2,2908
Male,Statistician I,Financial Services,High Net Worth,18,3765,VIC,7,45-54,Nov-20,Cat_2,1340
Male,Physical Therapy Assistant,Property,High Net Worth,9,4118,QLD,5,35-44,Above 90,Cat_2,2419
Male,Executive Secretary,Financial Services,Mass Customer,5,3008,VIC,5,35-44,Above 90,Cat_3,445
Female,Senior Cost Accountant,Financial Services,Mass Customer,20,2760,NSW,7,55-64,Below 10,Cat_2,463
Female,Desktop Support Technician,IT,Mass Customer,5,3355,VIC,2,Above 64,Below 10,Cat_3,255
Male,Chemical Engineer,Manufacturing,Mass Customer,7,4073,QLD,9,35-44,21-30,Cat_2,3499
Female,Electrical Engineer,Manufacturing,High Net Worth,3,2099,NSW,9,25-34,Nov-20,Cat_1,2865
Female,GIS Technical Architect,Financial Services,Affluent Customer,13,4179,QLD,10,35-44,Above 90,Cat_1,2195
Female,Sales Representative,Retail,Mass Customer,15,3114,VIC,10,55-64,21-30,Cat_2,1754
Female,Software Test Engineer I,Telecommunications,Affluent Customer,10,3175,VIC,7,55-64,Nov-20,Cat_1,1216
Female,VP Quality Control,Manufacturing,Mass Customer,16,2168,NSW,9,45-54,31-40,Cat_1,1192
Male,Account Coordinator,Property,High Net Worth,19,2116,NSW,10,55-64,21-30,Cat_1,229
Female,Senior Financial Analyst,Financial Services,Mass Customer,7,2114,NSW,8,25-34,31-40,Cat_2,2488
Male,VP Product Management,Financial Services,Affluent Customer,9,4105,QLD,8,35-44,61-70,Cat_2,3278
Female,Senior Editor,Manufacturing,Affluent Customer,1,4301,QLD,3,18-24,71-80,Cat_1,3435
Male,Social Worker,Health,Mass Customer,3,2170,NSW,8,25-34,Below 10,Cat_3,1068
Male,Administrative Assistant III,Retail,High Net Worth,7,2327,NSW,3,35-44,41-50,Cat_3,2055
Female,Accounting Assistant I,Retail,Affluent Customer,8,2322,NSW,4,25-34,51-60,Cat_3,1084
Male,Chief Design Engineer,Manufacturing,Mass Customer,13,4280,QLD,6,25-34,81-90,Cat_2,57
Female,Community Outreach Specialist,Manufacturing,Mass Customer,12,2117,NSW,12,45-54,Below 10,Cat_1,285
Female,Senior Quality Engineer,Manufacturing,High Net Worth,16,4306,QLD,8,45-54,81-90,Cat_2,1286
Male,Business Systems Development Analyst,IT,Mass Customer,19,3585,VIC,1,55-64,Nov-20,Cat_2,1694
Female,Statistician II,Retail,Mass Customer,10,2880,NSW,1,35-44,71-80,Cat_3,3402
Male,Civil Engineer,Manufacturing,Mass Customer,21,2777,NSW,7,45-54,31-40,Cat_3,94
Female,Dental Hygienist,Health,Affluent Customer,7,3280,VIC,4,55-64,Nov-20,Cat_3,2701
Male,Editor,Health,Mass Customer,16,4820,QLD,1,35-44,41-50,Cat_2,3335
Male,Recruiter,Telecommunications,Mass Customer,9,3140,VIC,8,45-54,Below 10,Cat_3,2832
Male,Research Assistant IV,Manufacturing,Affluent Customer,11,2029,NSW,10,45-54,51-60,Cat_3,3220
Female,Safety Technician II,Telecommunications,High Net Worth,9,2165,NSW,7,25-34,21-30,Cat_1,2453
Female,Automation Specialist I,Manufacturing,Mass Customer,1,4503,QLD,6,18-24,61-70,Cat_3,2755
Male,Biostatistician II,Manufacturing,Mass Customer,17,2151,NSW,8,25-34,51-60,Cat_2,3094
Female,Social Worker,Health,High Net Worth,15,3975,VIC,8,35-44,81-90,Cat_1,666
Male,Sales Representative,Retail,High Net Worth,21,2760,NSW,9,35-44,21-30,Cat_1,2981
Male,Associate Professor,Financial Services,High Net Worth,16,4030,QLD,4,55-64,Nov-20,Cat_2,1877
Male,Information Systems Manager,Health,Mass Customer,4,2114,NSW,12,35-44,81-90,Cat_1,2346
Male,Health Coach II,Entertainment,High Net Worth,9,2768,NSW,9,45-54,71-80,Cat_1,1147
Female,Office Assistant IV,Manufacturing,Affluent Customer,3,2530,NSW,8,25-34,51-60,Cat_3,3061
Female,Assistant Manager,Retail,Mass Customer,2,4508,QLD,6,25-34,31-40,Cat_1,283
Female,Food Chemist,Health,Mass Customer,5,3225,VIC,7,55-64,Below 10,Cat_3,1030
Male,Senior Developer,Health,Mass Customer,19,2428,NSW,7,35-44,31-40,Cat_1,2035
Female,Registered Nurse,Health,Mass Customer,5,2259,NSW,7,25-34,21-30,Cat_1,1411
Male,Nurse Practicioner,Property,Mass Customer,9,3802,VIC,7,Above 64,51-60,Cat_2,269
Female,Analog Circuit Design manager,Health,Affluent Customer,11,3150,VIC,9,45-54,21-30,Cat_3,729
Male,Information Systems Manager,Health,Mass Customer,3,2300,NSW,8,25-34,Above 90,Cat_3,2508
Female,Librarian,Entertainment,High Net Worth,18,4350,QLD,3,45-54,31-40,Cat_2,1200
Male,Tax Accountant,Argiculture,High Net Worth,2,2759,NSW,8,18-24,61-70,Cat_1,1432
Female,Sales Representative,Retail,Affluent Customer,11,3191,VIC,12,45-54,Nov-20,Cat_2,398
Female,General Manager,Manufacturing,High Net Worth,20,4304,QLD,2,Above 64,61-70,Cat_1,3028
Female,Chief Design Engineer,Retail,Affluent Customer,2,3057,VIC,10,25-34,Above 90,Cat_2,3284
Male,Physical Therapy Assistant,Entertainment,Mass Customer,6,2144,NSW,9,55-64,Nov-20,Cat_1,2158
Female,Director of Sales,Financial Services,Affluent Customer,18,3199,VIC,9,45-54,21-30,Cat_2,357
Male,Legal Assistant,IT,Mass Customer,17,3934,VIC,11,55-64,Below 10,Cat_2,1016
Male,Cost Accountant,Financial Services,Mass Customer,4,2322,NSW,3,25-34,61-70,Cat_3,700
Male,VP Sales,Health,Mass Customer,4,2304,NSW,7,45-54,31-40,Cat_1,673
Male,Associate Professor,Manufacturing,High Net Worth,18,3158,VIC,8,45-54,61-70,Cat_2,928
Female,Computer Systems Analyst II,Health,Affluent Customer,18,2226,NSW,10,55-64,51-60,Cat_3,3421
Male,Clinical Specialist,Health,Affluent Customer,4,2137,NSW,12,35-44,21-30,Cat_3,2672
Female,Paralegal,Financial Services,High Net Worth,9,3178,VIC,9,55-64,Above 90,Cat_1,2306
Male,Information Systems Manager,Health,Mass Customer,19,4034,QLD,5,55-64,Nov-20,Cat_2,995
Male,VP Sales,Property,Mass Customer,4,2127,NSW,10,25-34,41-50,Cat_1,56
Female,Professor,Financial Services,Affluent Customer,6,4031,QLD,9,35-44,71-80,Cat_3,3256
Female,Dental Hygienist,Health,High Net Worth,10,4123,QLD,6,45-54,71-80,Cat_3,1307
Female,Community Outreach Specialist,Financial Services,Affluent Customer,19,4165,QLD,5,55-64,21-30,Cat_2,532
Male,Tax Accountant,Telecommunications,High Net Worth,17,3910,VIC,7,35-44,Nov-20,Cat_3,1331
Female,Associate Professor,Argiculture,Affluent Customer,13,2112,NSW,11,55-64,81-90,Cat_1,1060
Male,Help Desk Technician,Financial Services,Mass Customer,7,4341,QLD,2,45-54,Above 90,Cat_2,2509
Male,Help Desk Technician,Retail,Mass Customer,8,2190,NSW,10,45-54,81-90,Cat_1,2524
Female,Safety Technician IV,Health,Mass Customer,7,2209,NSW,10,Above 64,Nov-20,Cat_1,98
Male,Administrative Officer,Financial Services,Mass Customer,5,4350,QLD,4,45-54,21-30,Cat_2,1893
Male,Staff Scientist,Manufacturing,High Net Worth,8,3630,VIC,1,55-64,61-70,Cat_2,2288
Female,Business Systems Development Analyst,Manufacturing,Affluent Customer,5,2135,NSW,9,35-44,31-40,Cat_1,3263
Female,Research Nurse,Health,Mass Customer,9,2192,NSW,9,25-34,71-80,Cat_3,955
Female,Paralegal,Financial Services,High Net Worth,18,4078,QLD,7,55-64,31-40,Cat_3,1003
Female,Help Desk Technician,Property,High Net Worth,14,3207,VIC,10,45-54,31-40,Cat_1,1051
Female,Staff Scientist,Manufacturing,Affluent Customer,21,2033,NSW,9,35-44,Below 10,Cat_1,959
Male,Research Nurse,Health,Mass Customer,12,3218,VIC,7,35-44,31-40,Cat_2,27
Female,Web Designer IV,Manufacturing,Mass Customer,16,4121,QLD,8,35-44,Above 90,Cat_2,2207
Female,Health Coach I,Health,High Net Worth,13,2759,NSW,8,45-54,51-60,Cat_3,637
Female,Assistant Professor,Financial Services,Affluent Customer,10,2830,NSW,2,45-54,61-70,Cat_1,1190
Male,Social Worker,Health,Mass Customer,9,2770,NSW,7,45-54,31-40,Cat_1,2177
Female,Account Executive,Property,Mass Customer,14,3127,VIC,11,Above 64,61-70,Cat_1,1671
Female,Teacher,Retail,High Net Worth,1,2040,NSW,12,25-34,Nov-20,Cat_2,2247
Male,Nurse,Financial Services,Mass Customer,7,2155,NSW,10,25-34,Above 90,Cat_1,2344
Female,Engineer II,Manufacturing,Affluent Customer,8,2508,NSW,9,55-64,Nov-20,Cat_1,2440
Female,Sales Associate,Manufacturing,Affluent Customer,1,3241,VIC,5,18-24,41-50,Cat_1,967
Male,Human Resources Assistant I,Property,Affluent Customer,15,2050,NSW,9,Above 64,51-60,Cat_1,467
Male,Assistant Media Planner,Entertainment,Affluent Customer,1,2567,NSW,7,18-24,21-30,Cat_1,2628
Female,Chemical Engineer,Manufacturing,Affluent Customer,8,4051,QLD,8,35-44,71-80,Cat_2,2412
Male,Civil Engineer,Manufacturing,Mass Customer,16,2065,NSW,8,55-64,21-30,Cat_3,565
Male,VP Sales,Financial Services,Affluent Customer,14,2007,NSW,8,35-44,41-50,Cat_1,1211
Female,Account Executive,Manufacturing,Mass Customer,18,2073,NSW,10,45-54,71-80,Cat_1,79
Female,Health Coach III,Health,High Net Worth,19,4161,QLD,5,55-64,21-30,Cat_3,1731
Male,Senior Quality Engineer,Financial Services,Mass Customer,14,2150,NSW,7,45-54,71-80,Cat_1,3187
Male,Desktop Support Technician,Manufacturing,Mass Customer,7,3134,VIC,10,35-44,51-60,Cat_3,1970
Male,Chemical Engineer,Manufacturing,Mass Customer,22,2106,NSW,11,25-34,Nov-20,Cat_1,2054
Male,Food Chemist,Health,High Net Worth,7,2747,NSW,8,25-34,Above 90,Cat_2,1980
Female,Junior Executive,Manufacturing,Mass Customer,7,2155,NSW,10,25-34,61-70,Cat_2,1770
Male,Librarian,Entertainment,Mass Customer,10,2148,NSW,8,45-54,21-30,Cat_3,1537
Female,Sales Associate,Manufacturing,Affluent Customer,19,2324,NSW,5,55-64,61-70,Cat_1,257
Male,Research Nurse,Health,Mass Customer,16,4205,QLD,5,45-54,31-40,Cat_2,1298
Female,Social Worker,Health,Mass Customer,14,2118,NSW,10,35-44,Nov-20,Cat_3,461
Male,Nurse,Manufacturing,High Net Worth,22,2763,NSW,9,45-54,81-90,Cat_3,3326
Male,Legal Assistant,Property,Affluent Customer,15,2113,NSW,11,35-44,Above 90,Cat_1,943
Male,Operator,Health,High Net Worth,6,2065,NSW,9,55-64,Above 90,Cat_1,2384
Female,Computer Systems Analyst II,Health,Affluent Customer,10,4285,QLD,3,45-54,51-60,Cat_1,2997
Male,VP Quality Control,Financial Services,Mass Customer,3,4060,QLD,9,35-44,51-60,Cat_1,2025
Female,Director of Sales,Retail,Mass Customer,5,4018,QLD,8,35-44,31-40,Cat_3,43
Male,Senior Sales Associate,Manufacturing,Mass Customer,9,2170,NSW,8,45-54,71-80,Cat_1,1935
Female,Health Coach IV,Health,High Net Worth,17,2094,NSW,12,Above 64,41-50,Cat_1,1710
Male,Quality Engineer,Financial Services,Affluent Customer,16,2219,NSW,10,45-54,Nov-20,Cat_1,1513
Female,Computer Systems Analyst II,Property,Mass Customer,2,3174,VIC,8,18-24,Below 10,Cat_3,3433
Male,Sales Representative,Retail,High Net Worth,13,3216,VIC,9,55-64,31-40,Cat_2,6
Female,Chemical Engineer,Manufacturing,High Net Worth,14,2770,NSW,8,45-54,Nov-20,Cat_1,405
Male,Health Coach IV,Health,Mass Customer,12,4860,QLD,2,55-64,Above 90,Cat_3,2684
Male,Engineer III,Manufacturing,Affluent Customer,16,4305,QLD,3,45-54,21-30,Cat_2,399
Male,Administrative Assistant I,Entertainment,Mass Customer,13,3754,VIC,6,45-54,41-50,Cat_2,2473
Male,Occupational Therapist,Health,Affluent Customer,19,3147,VIC,12,25-34,51-60,Cat_3,3044
Female,Programmer II,Manufacturing,Mass Customer,12,2179,NSW,12,35-44,Above 90,Cat_1,367
Female,Senior Quality Engineer,Financial Services,Affluent Customer,12,2046,NSW,11,25-34,Below 10,Cat_3,2537
Female,Account Coordinator,Property,Mass Customer,4,3204,VIC,10,45-54,51-60,Cat_2,1368
Male,Compensation Analyst,Financial Services,Affluent Customer,17,2110,NSW,12,55-64,Below 10,Cat_1,224
Female,VP Product Management,Manufacturing,High Net Worth,11,3020,VIC,4,55-64,51-60,Cat_3,1405
Male,Accounting Assistant I,Manufacturing,Affluent Customer,14,4300,QLD,5,35-44,31-40,Cat_3,2309
Male,Chemical Engineer,Manufacturing,Mass Customer,2,2848,NSW,1,25-34,21-30,Cat_3,1527
Female,Tax Accountant,Argiculture,Mass Customer,8,4217,QLD,8,35-44,Below 10,Cat_3,1181
Female,Database Administrator II,Retail,Mass Customer,18,4812,QLD,6,55-64,61-70,Cat_2,295
Male,Executive Secretary,Health,Mass Customer,3,2010,NSW,9,45-54,Nov-20,Cat_1,949
Female,Research Assistant II,Manufacturing,Affluent Customer,1,2065,NSW,10,25-34,41-50,Cat_1,2378
Male,Associate Professor,Financial Services,Mass Customer,18,3222,VIC,5,55-64,Below 10,Cat_2,1363
Female,VP Marketing,Manufacturing,Mass Customer,5,3910,VIC,9,Above 64,Below 10,Cat_2,2599
Male,Sales Associate,Property,High Net Worth,17,2026,NSW,9,35-44,51-60,Cat_2,907
Male,Marketing Manager,Manufacturing,Affluent Customer,5,3166,VIC,10,45-54,51-60,Cat_1,1857
Female,Senior Sales Associate,Manufacturing,High Net Worth,16,2166,NSW,9,45-54,Above 90,Cat_2,2494
Female,Project Manager,Property,Mass Customer,11,2487,NSW,9,45-54,Above 90,Cat_1,508
Female,Quality Control Specialist,Manufacturing,Mass Customer,20,4017,QLD,5,45-54,61-70,Cat_2,2475
Female,Web Developer II,Manufacturing,Mass Customer,6,3183,VIC,7,45-54,Nov-20,Cat_2,69
Female,Senior Sales Associate,Property,High Net Worth,4,2333,NSW,5,18-24,71-80,Cat_1,1714
Male,VP Quality Control,Financial Services,High Net Worth,9,2340,NSW,2,25-34,31-40,Cat_1,1478
Female,Systems Administrator I,Financial Services,Mass Customer,12,2218,NSW,11,Above 64,Below 10,Cat_3,534
Female,VP Marketing,Financial Services,High Net Worth,3,2112,NSW,11,35-44,41-50,Cat_3,2505
Female,Pharmacist,Health,Mass Customer,16,3032,VIC,8,45-54,21-30,Cat_2,2954
Female,Pharmacist,Health,Affluent Customer,2,4370,QLD,4,18-24,Nov-20,Cat_1,1278
Male,Speech Pathologist,Retail,Mass Customer,19,2077,NSW,10,55-64,Nov-20,Cat_1,3047
Male,Recruiter,Telecommunications,Mass Customer,21,4053,QLD,9,25-34,31-40,Cat_2,2097
Female,Desktop Support Technician,Manufacturing,Affluent Customer,1,2567,NSW,9,25-34,41-50,Cat_1,1601
Female,Assistant Media Planner,Entertainment,High Net Worth,4,2137,NSW,12,18-24,21-30,Cat_1,1724
Male,Quality Engineer,Manufacturing,Affluent Customer,5,3145,VIC,11,45-54,31-40,Cat_1,175
Female,Chief Design Engineer,Manufacturing,Mass Customer,12,3023,VIC,7,35-44,71-80,Cat_2,2481
Male,Computer Systems Analyst IV,Manufacturing,Mass Customer,19,3081,VIC,9,55-64,51-60,Cat_3,273
Female,Tax Accountant,Manufacturing,High Net Worth,16,4217,QLD,1,35-44,41-50,Cat_1,1650
Male,Environmental Tech,Property,Mass Customer,13,2508,NSW,10,35-44,31-40,Cat_1,233
Female,Financial Analyst,Financial Services,Mass Customer,3,4210,QLD,7,35-44,41-50,Cat_2,802
Female,Assistant Media Planner,Entertainment,Mass Customer,6,3166,VIC,10,35-44,71-80,Cat_2,2924
Female,Cost Accountant,Financial Services,Affluent Customer,15,2074,NSW,11,55-64,41-50,Cat_1,3182
Female,Biostatistician IV,Health,Affluent Customer,7,4503,QLD,3,35-44,61-70,Cat_2,2142
Female,Software Test Engineer III,Property,High Net Worth,19,3977,VIC,8,55-64,Above 90,Cat_2,82
Female,Systems Administrator II,Manufacturing,Mass Customer,19,2747,NSW,9,45-54,41-50,Cat_2,636
Female,Compensation Analyst,Financial Services,Mass Customer,11,3136,VIC,9,35-44,41-50,Cat_3,1000
Female,Statistician I,Retail,Mass Customer,5,4503,QLD,6,25-34,71-80,Cat_2,1138
Female,Tax Accountant,Retail,Mass Customer,18,3053,VIC,6,45-54,31-40,Cat_1,2979
Female,Chemical Engineer,Manufacturing,Mass Customer,22,2067,NSW,11,45-54,41-50,Cat_1,815
Female,General Manager,Entertainment,Mass Customer,11,3175,VIC,12,35-44,71-80,Cat_2,3273
Female,Environmental Specialist,Manufacturing,Mass Customer,10,3064,VIC,7,45-54,71-80,Cat_1,316
Male,Human Resources Manager,Health,Mass Customer,4,2775,NSW,9,25-34,81-90,Cat_1,1589
Male,Systems Administrator III,Manufacturing,Mass Customer,8,2027,NSW,9,55-64,31-40,Cat_3,1946
Male,Registered Nurse,Health,High Net Worth,5,3977,VIC,5,35-44,Nov-20,Cat_3,2210
Female,Cost Accountant,Financial Services,Mass Customer,12,2200,NSW,10,45-54,41-50,Cat_1,3314
Female,Analog Circuit Design manager,Health,Mass Customer,10,2065,NSW,11,45-54,31-40,Cat_1,147
Female,Budget/Accounting Analyst II,Retail,Mass Customer,12,2753,NSW,7,45-54,Below 10,Cat_1,2627
Male,Safety Technician I,Retail,High Net Worth,5,2320,NSW,5,35-44,51-60,Cat_1,1193
Male,Budget/Accounting Analyst III,Financial Services,Affluent Customer,19,3143,VIC,7,55-64,31-40,Cat_3,499
Female,Chemical Engineer,Manufacturing,Mass Customer,5,3084,VIC,9,55-64,41-50,Cat_2,662
Male,Librarian,Entertainment,High Net Worth,10,2204,NSW,9,45-54,Nov-20,Cat_3,640
Male,Information Systems Manager,Financial Services,Affluent Customer,2,2763,NSW,10,25-34,Nov-20,Cat_3,1558
Female,Engineer III,Financial Services,Mass Customer,13,2075,NSW,10,35-44,21-30,Cat_3,2572
Male,Account Coordinator,Property,Affluent Customer,15,2065,NSW,10,55-64,Above 90,Cat_1,1041
Male,Paralegal,Financial Services,Mass Customer,16,4421,QLD,2,35-44,Above 90,Cat_2,2217
Female,Account Coordinator,Property,Mass Customer,5,3015,VIC,8,55-64,21-30,Cat_2,452
Male,Financial Analyst,Financial Services,High Net Worth,3,3150,VIC,9,18-24,71-80,Cat_3,906
Male,Marketing Manager,Manufacturing,Affluent Customer,8,3187,VIC,11,55-64,Above 90,Cat_2,841
Male,VP Accounting,Financial Services,Mass Customer,6,3185,VIC,9,55-64,Above 90,Cat_2,495
Female,Compensation Analyst,Financial Services,Affluent Customer,10,4215,QLD,8,35-44,Above 90,Cat_2,1617
Female,Chemical Engineer,Manufacturing,Mass Customer,12,2753,NSW,10,55-64,Below 10,Cat_1,1639
Female,Assistant Professor,Manufacturing,Affluent Customer,5,3189,VIC,10,55-64,Above 90,Cat_1,2897
Female,Accounting Assistant IV,Manufacturing,Affluent Customer,15,3182,VIC,8,55-64,Above 90,Cat_2,2057
Female,Financial Analyst,Financial Services,Mass Customer,1,3219,VIC,5,25-34,71-80,Cat_2,2369
Male,Mechanical Systems Engineer,Property,High Net Worth,6,3042,VIC,9,25-34,31-40,Cat_2,3093
Male,Registered Nurse,Health,Mass Customer,4,4701,QLD,2,25-34,Nov-20,Cat_3,320
Male,VP Accounting,Financial Services,Mass Customer,3,2160,NSW,9,18-24,Above 90,Cat_3,99
Female,Recruiting Manager,Manufacturing,Affluent Customer,15,2647,NSW,3,45-54,Nov-20,Cat_3,1102
Male,Staff Scientist,Manufacturing,Mass Customer,15,3807,VIC,6,45-54,Below 10,Cat_2,2401
Female,Social Worker,Health,Mass Customer,13,2017,NSW,9,45-54,81-90,Cat_1,1184
Female,Executive Secretary,Telecommunications,High Net Worth,3,2360,NSW,1,35-44,21-30,Cat_1,2349
Female,Internal Auditor,IT,Mass Customer,3,3201,VIC,6,45-54,Nov-20,Cat_2,135
Female,Speech Pathologist,Manufacturing,Mass Customer,4,2760,NSW,7,35-44,71-80,Cat_2,2438
Male,Human Resources Manager,Manufacturing,Mass Customer,6,2036,NSW,12,25-34,71-80,Cat_2,934
Female,Payment Adjustment Coordinator,Manufacturing,High Net Worth,3,2134,NSW,12,25-34,61-70,Cat_1,667
Male,Marketing Assistant,IT,Mass Customer,14,3088,VIC,9,35-44,31-40,Cat_2,2100
Female,Marketing Assistant,Retail,Mass Customer,15,3809,VIC,5,35-44,31-40,Cat_2,1607
Female,Chemical Engineer,Manufacturing,Mass Customer,11,2048,NSW,9,Above 64,51-60,Cat_1,2813
Male,Research Nurse,Health,Mass Customer,10,3155,VIC,9,45-54,31-40,Cat_2,3324
Male,VP Product Management,Financial Services,Mass Customer,19,3188,VIC,9,55-64,61-70,Cat_3,917
Female,Associate Professor,Manufacturing,Affluent Customer,7,2229,NSW,10,35-44,71-80,Cat_1,1073
Female,Operator,Health,Affluent Customer,1,3995,VIC,3,18-24,Nov-20,Cat_1,2759
Female,Social Worker,Health,High Net Worth,18,2164,NSW,9,45-54,61-70,Cat_1,1107
Female,GIS Technical Architect,Argiculture,High Net Worth,5,2481,NSW,9,Above 64,51-60,Cat_1,686
Male,VP Marketing,Entertainment,Mass Customer,9,4226,QLD,8,45-54,Below 10,Cat_3,1129
Male,Environmental Tech,Manufacturing,High Net Worth,7,3075,VIC,7,25-34,Above 90,Cat_2,504
Male,Graphic Designer,Financial Services,Affluent Customer,10,3175,VIC,8,45-54,Below 10,Cat_2,976
Female,Operator,Retail,High Net Worth,7,2760,NSW,9,35-44,Below 10,Cat_1,564
Female,Social Worker,Health,Mass Customer,15,2018,NSW,8,45-54,21-30,Cat_3,235
Male,Chemical Engineer,Manufacturing,High Net Worth,10,4870,QLD,1,55-64,Nov-20,Cat_3,3020
Female,Community Outreach Specialist,Financial Services,Affluent Customer,18,3030,VIC,4,45-54,21-30,Cat_1,2977
Male,Sales Representative,Retail,High Net Worth,1,2619,NSW,7,35-44,61-70,Cat_1,1071
Female,Programmer Analyst III,Manufacturing,Mass Customer,12,4701,QLD,3,55-64,51-60,Cat_3,1832
Male,Account Executive,Manufacturing,Affluent Customer,10,2199,NSW,9,55-64,81-90,Cat_1,1882
Male,Compensation Analyst,Financial Services,Affluent Customer,16,2250,NSW,3,Above 64,Above 90,Cat_1,794
Female,Design Engineer,Manufacturing,Affluent Customer,1,3143,VIC,8,18-24,51-60,Cat_1,931
Male,Account Executive,Argiculture,High Net Worth,11,3429,VIC,6,55-64,31-40,Cat_2,2174
Female,Business Systems Development Analyst,IT,Affluent Customer,10,4213,QLD,8,25-34,31-40,Cat_2,2650
Female,Mechanical Systems Engineer,Property,High Net Worth,7,4825,QLD,3,35-44,71-80,Cat_2,2359
Female,Analyst Programmer,Property,Mass Customer,13,3103,VIC,12,55-64,41-50,Cat_1,2848
Male,Senior Cost Accountant,Financial Services,High Net Worth,8,2528,NSW,8,25-34,61-70,Cat_1,1470
Female,Engineer I,Manufacturing,Mass Customer,7,4217,QLD,11,45-54,31-40,Cat_2,718
Female,GIS Technical Architect,Financial Services,High Net Worth,14,2089,NSW,12,35-44,51-60,Cat_2,3252
Male,Social Worker,Health,High Net Worth,6,3152,VIC,9,35-44,71-80,Cat_1,1681
Male,Biostatistician II,Health,Affluent Customer,6,2095,NSW,11,45-54,51-60,Cat_1,2711
Male,Sales Associate,Health,Mass Customer,11,3191,VIC,11,45-54,31-40,Cat_2,2678
Male,Structural Analysis Engineer,Property,Mass Customer,12,2033,NSW,12,35-44,51-60,Cat_2,2513
Male,Cost Accountant,Financial Services,Mass Customer,3,3174,VIC,8,25-34,71-80,Cat_2,3395
Female,Structural Engineer,Manufacturing,Mass Customer,5,3350,VIC,5,35-44,Below 10,Cat_3,3247
Female,Engineer IV,Entertainment,High Net Worth,19,2000,NSW,9,45-54,51-60,Cat_1,2629
Male,Compensation Analyst,Financial Services,Affluent Customer,2,2027,NSW,11,35-44,Below 10,Cat_1,3463
Female,Web Designer IV,Manufacturing,Mass Customer,18,3079,VIC,6,Above 64,51-60,Cat_1,3034
Male,Account Coordinator,Property,High Net Worth,9,2869,NSW,4,35-44,Nov-20,Cat_1,3267
Female,Database Administrator II,Retail,Mass Customer,3,2193,NSW,8,35-44,Above 90,Cat_1,355
Male,Nuclear Power Engineer,Manufacturing,Mass Customer,8,3805,VIC,7,35-44,31-40,Cat_1,3115
Female,Legal Assistant,Property,Mass Customer,9,2830,NSW,5,35-44,81-90,Cat_1,354
Male,Actuary,Financial Services,High Net Worth,3,2074,NSW,12,25-34,Above 90,Cat_3,469
Male,Analyst Programmer,Financial Services,High Net Worth,11,3015,VIC,10,45-54,41-50,Cat_2,645
Female,Web Designer I,Property,Mass Customer,4,2121,NSW,12,25-34,41-50,Cat_1,1573
Female,Senior Editor,Property,Mass Customer,20,2765,NSW,10,Above 64,71-80,Cat_1,1421
Female,Junior Executive,Financial Services,High Net Worth,11,2203,NSW,10,45-54,41-50,Cat_1,1726
Female,Administrative Officer,Manufacturing,Mass Customer,14,2560,NSW,7,45-54,51-60,Cat_2,990
Female,Web Designer II,Manufacturing,Mass Customer,9,2343,NSW,2,45-54,51-60,Cat_2,2796
Male,Clinical Specialist,Health,Affluent Customer,11,2232,NSW,10,35-44,71-80,Cat_1,1508
Female,Director of Sales,Manufacturing,Affluent Customer,12,2138,NSW,11,45-54,Nov-20,Cat_1,1634
Male,Chemical Engineer,Manufacturing,Mass Customer,6,4301,QLD,3,25-34,71-80,Cat_2,2901
Female,General Manager,Health,Mass Customer,8,4511,QLD,2,55-64,61-70,Cat_2,1275
Female,Mechanical Systems Engineer,Argiculture,High Net Worth,7,2153,NSW,10,35-44,31-40,Cat_1,1729
Male,Structural Analysis Engineer,Manufacturing,Affluent Customer,6,4300,QLD,4,Above 64,51-60,Cat_2,166
Male,Speech Pathologist,Manufacturing,High Net Worth,3,3380,VIC,1,25-34,21-30,Cat_1,1930
Female,Civil Engineer,Manufacturing,High Net Worth,11,4217,QLD,10,35-44,51-60,Cat_2,2597
Male,Developer IV,Health,High Net Worth,13,2261,NSW,9,45-54,Above 90,Cat_3,1611
Female,Internal Auditor,Property,High Net Worth,11,2075,NSW,11,Above 64,71-80,Cat_3,230
Female,Sales Representative,Retail,Mass Customer,5,2795,NSW,7,25-34,Nov-20,Cat_1,1658
Female,General Manager,Manufacturing,Mass Customer,20,3175,VIC,5,35-44,Above 90,Cat_2,3268
Male,Health Coach II,Property,Mass Customer,6,2560,NSW,4,55-64,Above 90,Cat_1,1456
Male,Accountant III,Health,Mass Customer,11,4069,QLD,9,55-64,Above 90,Cat_2,2786
Female,Librarian,Entertainment,Affluent Customer,3,3175,VIC,7,45-54,Above 90,Cat_2,1932
Female,Desktop Support Technician,Financial Services,Affluent Customer,18,4306,QLD,7,35-44,51-60,Cat_1,1288
Female,Project Manager,Property,Mass Customer,15,2428,NSW,5,45-54,71-80,Cat_3,3146
Male,Safety Technician IV,Manufacturing,High Net Worth,18,3028,VIC,7,45-54,Nov-20,Cat_2,2092
Female,Staff Scientist,Financial Services,Affluent Customer,16,4305,QLD,4,55-64,51-60,Cat_2,3084
Male,Web Designer III,Manufacturing,Mass Customer,18,4151,QLD,9,45-54,Nov-20,Cat_2,3454
Male,Quality Engineer,Property,Affluent Customer,13,2750,NSW,9,Above 64,Nov-20,Cat_1,2772
